B,B_norm,F1,FPS,M1,Q1,Q_aux,Q_discriminator,Q_fb,actor_loss,auxQ1,aux_critic_loss,aux_rew/limits_dof_pos,aux_rew/limits_torque,aux_rew/penalty_action_rate,aux_rew/penalty_ankle_roll,aux_rew/penalty_feet_ori,aux_rew/penalty_slippage,aux_rew/penalty_torques,aux_rew/penalty_undesired_contact,critic_loss,disc_expert_loss,disc_loss,disc_train_loss,disc_wgan_gp_loss,duration [minutes],fb_diag,fb_loss,fb_offdiag,mean_aux_reward,mean_disc_reward,mean_next_Q,mean_next_auxQ,orth_loss,orth_loss_diag,orth_loss_offdiag,q_loss,target_M,target_Q,target_auxQ,timestep,unc_Q,unc_auxQ,z_norm
0.000192,16.0,-0.070857,893.1083728134739,11.558506,-34.328377,-33.354019,-33.787743,291.051483,600.357971,-32.844543,1.43188,0.293563,12.893566,260.754761,0.125463,0.233957,0.503087,51058.890625,0.707729,3.910388,0.028665,0.195631,0.067311,0.009966,7.1659835775693255,-209.577118,-3711.303955,494.419617,-1.854985,-3.494042,-31.208025,-31.407005,-39.961411,-255.999985,216.037842,0.0,11.099902,-34.334145,-32.848675,384000,0.522904,0.438217,16.000063
1.1e-05,16.0,-0.067574,1007.2064728081776,38.583344,-94.63871,-63.365833,-93.610115,705.014221,3542.445068,-63.072826,1.980319,0.285049,14.449101,153.585693,0.130995,0.364777,0.575903,52559.917969,0.856895,13.777198,0.014234,0.078914,0.015215,0.004946,13.527767546971639,-234.767303,-9378.741211,738.630737,-1.519715,-4.561192,-91.354279,-62.572392,-98.826134,-256.0,157.173691,0.0,38.264534,-94.644302,-63.073795,768000,1.134692,0.475875,16.000042
0.000637,16.0,0.398244,1040.6315813846281,54.866489,-129.209045,-66.346642,-128.231308,857.194824,5789.473145,-66.352791,1.745287,0.245951,13.451359,118.832237,0.131464,0.435718,0.586773,48796.609375,0.881118,10.777619,0.017923,0.076907,0.018891,0.004009,19.684047281742096,-251.122955,-10919.932617,779.982056,-1.353921,-4.834424,-126.317352,-66.090027,-114.48806,-255.999969,141.511368,0.0,54.844795,-129.212204,-66.35289,1152000,1.197278,0.470897,16.000013
0.002136,16.0,0.648892,1046.0221783926995,65.026268,-147.72818,-60.116833,-146.825333,960.981567,7262.456543,-60.204666,1.492635,0.205544,11.844074,94.427246,0.131436,0.433735,0.555176,41162.46875,0.888591,7.981715,0.025139,0.08914,0.027405,0.00366,25.807307167847952,-249.406525,-11702.71582,833.470581,-1.187817,-4.58002,-145.542419,-59.996922,-122.867905,-256.0,133.131668,0.0,65.212227,-147.730087,-60.204422,1536000,1.058337,0.44845,16.000004
0.00325,16.0,0.31753,1046.5289063364671,59.680302,-152.77121,-52.812904,-151.952957,1072.649048,8223.248047,-52.902103,1.267198,0.172652,10.830774,75.159561,0.132509,0.43025,0.533327,34553.757812,0.890132,6.668462,0.037363,0.115132,0.040627,0.003714,31.927441012859344,-247.095932,-11899.408203,863.687988,-1.063263,-4.410463,-150.882935,-52.688011,-125.159981,-256.0,130.839722,0.0,59.751755,-152.772995,-52.902065,1920000,1.014459,0.417237,15.999976
0.003583,16.0,-0.011597,1045.7282260548973,52.901047,-157.674759,-48.163677,-156.842636,1174.898193,9178.631836,-48.223545,1.146416,0.1558,10.031349,67.17128,0.132053,0.43852,0.521407,31344.660156,0.888216,6.210411,0.041868,0.122359,0.045977,0.003451,38.05229912598928,-253.966751,-12103.416016,814.842896,-1.015676,-4.368283,-155.924866,-47.965641,-126.643311,-256.0,129.356445,0.0,52.814236,-157.675339,-48.22361,2304000,1.021899,0.411323,15.999989
0.003791,16.0,-0.057885,1045.4603199711878,48.858147,-159.649857,-45.592415,-158.757538,1249.447876,9816.053711,-45.618416,1.047252,0.143483,9.424588,59.196365,0.132011,0.446187,0.512513,28871.476562,0.886869,5.833549,0.045412,0.127764,0.050095,0.003226,44.17882885535558,-260.574219,-12198.777344,784.648315,-0.999083,-4.390339,-157.913376,-45.326988,-127.228897,-256.0,128.770905,0.0,48.666317,-159.650192,-45.618473,2688000,1.029775,0.405895,16.000006
0.00352,16.0,0.020556,1046.7413234638266,48.856297,-160.286774,-46.255936,-159.333694,1349.235718,10659.646484,-46.254261,1.218318,0.127577,8.913007,45.444088,0.131912,0.470488,0.508544,26948.867188,0.878228,6.451028,0.04745,0.129545,0.051849,0.003025,50.297740904490155,-265.27948,-12168.599609,820.74585,-1.106048,-4.396761,-158.55423,-45.851234,-127.240417,-256.0,128.759277,0.0,48.650326,-160.286942,-46.254349,3072000,1.033713,0.436953,15.999982
0.003705,16.0,0.04527,1046.9814533811575,47.912743,-153.929855,-50.247765,-153.109558,1393.130615,10683.107422,-50.217709,1.116537,0.089196,6.896926,25.629499,0.131836,0.468669,0.482116,19288.496094,0.825788,4.867366,0.047616,0.131817,0.05094,0.003326,56.415430676937106,-260.378876,-12141.78125,717.827332,-1.342083,-4.198418,-152.292465,-49.653538,-125.992165,-256.0,130.007568,0.0,47.675743,-153.930496,-50.218449,3456000,0.990336,0.440389,15.99999
0.003802,16.0,0.090995,1046.312894010777,45.523537,-152.304749,-57.466438,-151.561142,1383.300171,10702.036133,-57.482727,1.312885,0.072982,5.934014,18.528408,0.131961,0.457406,0.444945,14875.853516,0.755242,4.630897,0.045418,0.124414,0.047968,0.003103,62.537074172496794,-260.022858,-12114.800781,744.014404,-1.619401,-4.085693,-150.785065,-56.77203,-125.988167,-256.0,130.011444,0.0,45.226475,-152.304703,-57.483295,3840000,0.918293,0.463754,15.999971
0.003848,16.0,0.135937,1047.2698233945043,45.613537,-152.634445,-66.583366,-151.990616,1383.086182,10983.553711,-66.644569,1.4095,0.063,5.355929,14.065148,0.132219,0.454114,0.418154,12251.280273,0.687183,3.716703,0.043416,0.116007,0.045495,0.00271,68.6528912226359,-267.393921,-12113.158203,776.963989,-1.767384,-4.002831,-151.246185,-65.955284,-126.227043,-256.0,129.77272,0.0,45.305347,-152.634262,-66.645027,4224000,0.837036,0.492563,15.999989
0.003982,16.0,0.190878,1046.3078654434948,45.1409,-155.840759,-72.35743,-155.236404,1409.812012,11594.112305,-72.414673,1.329949,0.060665,4.845092,12.310865,0.131861,0.458526,0.397851,11571.069336,0.622461,2.881314,0.042961,0.110228,0.044776,0.002249,74.77442968289057,-281.959503,-12178.219727,817.626099,-1.762538,-4.034876,-154.501328,-71.841049,-127.138603,-255.999969,128.861084,0.0,44.810425,-155.840866,-72.414986,4608000,0.805485,0.506689,16.000011
