B,B_norm,F1,FPS,M1,Q1,Q_aux,Q_discriminator,Q_fb,actor_loss,auxQ1,aux_critic_loss,aux_rew/limits_dof_pos,aux_rew/limits_torque,aux_rew/penalty_action_rate,aux_rew/penalty_ankle_roll,aux_rew/penalty_feet_ori,aux_rew/penalty_slippage,aux_rew/penalty_torques,aux_rew/penalty_undesired_contact,critic_loss,disc_expert_loss,disc_loss,disc_train_loss,disc_wgan_gp_loss,duration [minutes],fb_diag,fb_loss,fb_offdiag,mean_aux_reward,mean_disc_reward,mean_next_Q,mean_next_auxQ,orth_loss,orth_loss_diag,orth_loss_offdiag,q_loss,target_M,target_Q,target_auxQ,timestep,unc_Q,unc_auxQ,z_norm
0.00403,11.313243,0.297963,1404.254111730941,5.078003,-34.698978,-28.764872,-34.4748,182.085602,372.644928,-28.09763,1.173846,0.356347,11.650256,196.54068,0.12572,0.296761,0.607667,46366.308594,0.701075,2.470534,0.049472,0.272,0.090547,0.013198,4.557579648494721,-124.374443,-4866.941406,321.870697,-1.502873,-3.163307,-31.865284,-26.863817,-50.644318,-128.0,77.355537,0.0,4.835269,-34.706245,-28.103426,384000,0.643022,0.55935,11.31326
0.011601,11.313223,0.71439,1824.012973297839,27.526611,-109.349052,-62.055729,-108.831085,399.87738,2300.125732,-61.347057,2.463093,0.400805,13.321753,115.032074,0.132824,0.406032,0.626695,47931.203125,0.843063,8.22368,0.016449,0.103113,0.018084,0.006858,8.072016020615896,-140.305954,-5986.936523,450.608704,-1.360474,-4.784985,-106.069679,-60.851566,-62.972332,-127.999985,65.027534,0.0,27.171125,-109.357697,-61.349613,768000,1.274163,0.723239,11.313253
0.012618,11.313223,0.940757,1845.982981448294,43.782448,-158.181641,-71.258568,-157.735367,467.424042,3892.824219,-70.836388,2.487061,0.384418,12.447091,85.365089,0.133413,0.525531,0.578409,45934.261719,0.878687,8.640501,0.014524,0.080069,0.015025,0.005052,11.544758466879527,-147.72496,-5946.730469,531.040222,-1.26021,-4.959235,-155.659866,-70.647385,-63.300556,-127.999985,64.699364,0.0,43.620613,-158.186234,-70.837242,1152000,1.388564,0.698893,11.313282
0.012763,11.313223,1.029188,1831.1130285689335,46.929878,-188.906845,-69.734703,-188.426575,509.763214,5009.458984,-69.457237,2.219518,0.36629,11.786113,66.79747,0.133741,0.59538,0.524028,44212.910156,0.904697,7.224081,0.012996,0.066166,0.013449,0.003972,15.045567035675049,-154.08963,-5996.961914,531.723267,-1.216707,-5.117198,-186.885849,-69.292717,-63.746025,-128.0,64.25386,0.0,46.804047,-188.909897,-69.457283,1536000,1.314318,0.681014,11.313281
0.013108,11.313223,1.04866,1862.560714838905,46.910069,-202.015594,-66.24971,-201.427338,548.340088,5705.467285,-66.033035,1.954039,0.351156,11.177304,55.376553,0.133695,0.606566,0.481757,43585.414062,0.914011,7.028399,0.01381,0.062682,0.014142,0.003473,18.487404827276865,-158.967896,-5992.814453,534.344299,-1.183484,-5.068131,-200.320663,-65.841293,-63.681915,-128.0,64.318024,0.0,46.768135,-202.017227,-66.032982,1920000,1.295231,0.663432,11.313268
0.013152,11.313223,0.669558,1831.3552843865323,47.164772,-206.817474,-62.932858,-206.165421,586.343811,6199.072754,-62.783039,1.733678,0.340388,10.903624,48.430592,0.133674,0.623972,0.44987,43623.726562,0.924837,6.46689,0.013199,0.05722,0.01348,0.003054,21.987753462791442,-163.062546,-6006.669922,542.344482,-1.166798,-5.108359,-205.211334,-62.554108,-63.859436,-128.0,64.140549,0.0,47.017223,-206.818192,-62.783062,2304000,1.230338,0.639185,11.313252
0.012969,11.313223,0.48455,1847.0739795055447,46.836948,-212.158997,-60.716576,-211.636139,634.236145,6851.041504,-60.573013,1.517089,0.332514,10.942935,41.63039,0.134004,0.629549,0.432772,44278.566406,0.928386,5.956912,0.013164,0.054428,0.013408,0.002786,25.458531697591145,-166.301666,-5983.833984,562.678467,-1.202076,-5.110226,-210.698242,-60.284275,-63.801971,-128.0,64.197983,0.0,46.67334,-212.158936,-60.573006,2688000,1.15279,0.59702,11.313256
0.013426,11.313223,0.502419,1829.1988879889764,46.307129,-219.560165,-63.205441,-219.164795,676.032471,7591.759766,-62.988735,1.759331,0.324527,10.836119,30.087599,0.134469,0.660501,0.404499,44002.542969,0.949083,6.746301,0.012139,0.049226,0.01234,0.002475,28.962618911266325,-167.397552,-5925.782715,620.70813,-1.415507,-5.167097,-218.20372,-62.523365,-63.790791,-127.999985,64.209145,0.0,46.129139,-219.561722,-62.989143,3072000,1.132111,0.613739,11.313256
0.013552,11.313223,0.774593,1836.4018343723722,44.903324,-225.52002,-74.159065,-225.297119,699.757812,8227.523438,-73.862831,1.873573,0.311711,10.187002,17.545719,0.134776,0.710759,0.35799,42796.117188,0.960266,6.435937,0.011689,0.04612,0.011872,0.002256,32.45361338853836,-167.187378,-5905.186035,633.852844,-1.960685,-5.146812,-224.343826,-73.059258,-63.718548,-127.999985,64.281387,0.0,44.690876,-225.520554,-73.863838,3456000,1.053947,0.622835,11.313233
0.013823,11.313223,0.88848,1768.4235890390526,45.212345,-231.240097,-91.985115,-231.020599,712.427979,8832.433594,-91.715393,2.419928,0.300791,9.839662,13.211526,0.135038,0.725717,0.327822,41531.894531,0.965427,5.957736,0.010965,0.042027,0.011168,0.001989,36.07844953536987,-168.504883,-5882.569336,665.47583,-2.353056,-5.190877,-230.137039,-90.838997,-63.795467,-128.0,64.20446,0.0,45.003868,-231.240936,-91.716591,3840000,1.051924,0.69635,11.313231
